G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
33RO20120721,4057.0,31.0,2012.0,7.0,31.0,26.978,-79.282,3.0,1976.97,2329.01,29.383,35.906,8.04865566440281,1.0,1.0,1.0
33RO20120721,4057.0,31.0,2012.0,7.0,31.0,26.978,-79.282,9.0,1982.13,2334.91171810017,29.391,35.923,8.04720686605144,1.0,1.0,1.0
33RO20120721,4057.0,25.0,2012.0,7.0,30.0,26.979,-79.865,3.0,2015.5,2355.44,29.43,35.994,8.03811437507368,1.0,1.0,1.0
33RO20120721,4057.0,25.0,2012.0,7.0,30.0,26.979,-79.865,9.0,2012.88,2358.21,29.395,36.033,8.03099438607206,1.0,1.0,1.0
33RO20120721,4057.0,26.0,2012.0,7.0,31.0,26.98,-79.781,2.0,2008.93,2364.65,29.446,36.036,8.03730765989827,1.0,1.0,1.0
33RO20120721,4057.0,32.0,2012.0,7.0,31.0,26.98,-79.2,3.0,1982.65,2339.09,29.519,35.937,8.05027237097781,1.0,1.0,1.0
33RO20120721,4057.0,32.0,2012.0,7.0,31.0,26.98,-79.2,9.0,1987.47,2338.56,29.475,35.948,8.04577877172448,1.0,1.0,1.0
33RO20170718,4058.0,101.0,2017.0,8.0,20.0,26.982,-79.688,2.0,2018.6,2369.82047635372,30.358,36.323,8.01965965256931,0.0,0.0,0.0
33RO20170718,4058.0,101.0,2017.0,8.0,20.0,26.982,-79.688,10.0,2020.6,2373.14,30.359,36.321,8.01859866095958,0.0,0.0,0.0
33RO20170718,4058.0,100.0,2017.0,8.0,20.0,26.9841,-79.781,4.0,2018.6,2366.5,30.423,36.315,8.01744120272064,0.0,0.0,0.0
33RO20170718,4058.0,100.0,2017.0,8.0,20.0,26.9841,-79.781,10.0,2019.2,2371.06,30.428,36.313,8.01579358904302,0.0,0.0,0.0
33GG20150619,4034.0,163.0,2015.0,7.0,23.0,26.98663,-79.18081,3.0,2022.3,2369.91,29.5682,36.2383,8.0305982642624,0.0,0.0,0.0
33RO20170718,4058.0,99.0,2017.0,8.0,19.0,26.9867,-79.861,4.0,2029.8,2380.76,30.578,36.312,8.02000774836311,0.0,0.0,0.0
33RO20170718,4058.0,99.0,2017.0,8.0,19.0,26.9867,-79.861,10.0,2029.8,2384.46,30.572,36.312,8.01889501073362,0.0,0.0,0.0
33RO20120721,4057.0,33.0,2012.0,7.0,31.0,26.987,-79.174,3.0,1993.08,2337.9,29.557,35.956,8.0428653549311,1.0,1.0,1.0
33RO20170718,4058.0,98.0,2017.0,8.0,19.0,26.9871,-79.931,3.0,2032.5,2388.45,30.691,36.142,8.0180691420843,0.0,0.0,0.0
33RO20170718,4058.0,98.0,2017.0,8.0,19.0,26.9871,-79.931,10.0,2031.9,2388.46,30.354,36.137,8.02372544966644,0.0,0.0,0.0
33RO20120721,4057.0,24.0,2012.0,7.0,30.0,26.989,-79.931,3.0,2016.11,2369.45,30.043,35.993,8.02396944837729,1.0,1.0,1.0
33RO20170718,4058.0,104.0,2017.0,8.0,20.0,26.9893,-79.376,3.0,2022.3,2374.77823922956,30.152,36.285,8.02463406233005,0.0,0.0,0.0
33RO20170718,4058.0,106.0,2017.0,8.0,20.0,26.9913,-79.202,3.0,2022.7,2376.44,30.247,36.535,8.02342067669695,0.0,0.0,0.0
33GG20150619,4034.0,162.0,2015.0,7.0,23.0,26.99166,-79.2745,3.0,2017.67,2367.14,29.6839,36.1815,8.02676804668328,0.0,0.0,0.0
33RO20170718,4058.0,105.0,2017.0,8.0,20.0,26.9921,-79.281,3.0,2022.2,2375.34,30.212,36.36,8.026051294778,0.0,0.0,0.0
